"X","Y"
410757.89,6457819.16
412609.27,6458948.26
411338.52,6457109.33
411463.53,6456505.33
410073.5,6457254.55
410918.17,6457612
410122.93,6457623.5
411401.21,6457775.37
412414.49,6457684.18
410861.54,6458721.74
410065.23,6457340.94
410946.98,6457035.08
411550.32,6458600.96
412415.71,6458769.58
411588.44,6457018.51
412415.81,6458793.35
411677.28,6457129.96
411632.14,6458865.32
412698.79,6457570.23
412786.33,6457789.95
411813.15,6458774.16
411210.33,6457049.51
410586.93,6458485.1
410367.71,6459063.65
410588.27,6457446.01
411700.95,6458063.18
412461.37,6457698.2
412233.39,6458348.16
410842.76,6458579.36
411281.28,6457739.4
411745.06,6458850.5
410866.36,6457740.92
411133.15,6457844.65
411757.31,6458513.2
410372.37,6457045.9
412466.29,6458399.64
409338.44,6457295.92
411017.96,6457739.37
412067.85,6458266.07
410563.75,6458337.15
411280.64,6458713.32
411735.46,6458745.58
411311.34,6458423.4
409954.32,6457582.73
412207.98,6454944.43
412166.29,6458252.1
411271.94,6458330.01
411464.68,6456765.52
410975.41,6458639.44
412747.69,6457940.55
412232.13,6457589.54
410780.58,6456861.11
410664.9,6456813.8
410506.83,6457793.95
410284,6457514.37
410235.03,6457504.42
410865.84,6459173.72
658398.44,6470516.01
658576.58,6471172.56
658024.77,6471122.78
657935.12,6471277.47
657667.67,6473952.93
657823.33,6473162.36
658504.78,6471025.61
659476.28,6472748.22
657927.92,6472599.1
659102.41,6471309.98
656972.65,6473870.98
658891.11,6476205.69
658657.5,6472003.86
657201,6472533.63
658819.77,6476063.17
658063.14,6472499.7
658315.58,6470594.8
659003.91,6476354.2
658242.25,6472480.03
658870.24,6476138.66
659408.83,6472622.77
657790.56,6474834.12
659640.86,6473241.86
659036.57,6473696.41
658540.28,6472456.61
659202.02,6473988
659523.92,6471136.16
661287.4,6474133.63
659504.57,6474784.82
659672.16,6474932.91
659273.9,6476246.96
662090.78,6472612.86
660444.58,6472895.3
662478.67,6473301.56
660301.61,6472390.79
